Name,Reviewed on,Last update,Langage,Encrypted,Compression,Deduplication,Incremental,Authenticated,Error-correction,Expiration,Client/Server,UI,rsync,GPG,SSH,S3,Sync,dbsrc,Note,Link
areca,-,,,,,,,,,,,,,,,,,,,http://areca-backup.org
Arqinator,-,,,,,,,,,,,,,,,,,,,https://github.com/asimihsan/arqinator
attic,-,"(old, see borg)",Python,x,,x,,x,,,,,,,,,,,,https://github.com/jborg/attic
backshift,-,,Python,,x,x,,,,x,,,,,x,,,,Source in SVN,http://stromberg.dnsalias.org/~strombrg/backshift/
backup,-,,ruby,,,,,,,,,,,,,,x,x,Remote dst,https://github.com/backup/backup
backup2l,-,,shell,,,,,,,,,,,,,,,,Heirarchical incremental tarballs,http://backup2l.sourceforge.net/
BackupPC,-,,Perl,,,file,,,,,x,x,,,,,,,,http://backuppc.sourceforge.net/
Backups-Done-Right,-,,,,,,,,,,,,,,,,,,"Proposal, no code",https://github.com/spikebike/Backups-Done-Right
bacula,-,"(old, see bareos)",,,,,,,,,,,,,,,,,,https://blog.bacula.org/
bareos,-,,,,,,x,,,,x,,,,,,,,,https://www.bareos.org/en/
BlobSnap,-,,Golang,,,x,x,,,,,,,,,,,,,https://github.com/tsileo/blobsnap
borg,-,,Python,x,,x,x,x,,,,"borgmatic (https://torsion.org/borgmatic/), backupninja",,,,,,,,https://github.com/borgbackup
boxbackup,-,,C++,,,,,,,,x,,,,,,,,,https://github.com/boxbackup/boxbackup
brackup,-,(old),Perl,x,,x,,,,,,,,x,,,,,Continuous,http://search.cpan.org/~bradfitz/Brackup-1.10/lib/Brackup/Manual/Overview.pod
btar,-,,C,,,,,,,,,,,,,,,,Complicated build around tarballs,http://viric.name/cgi-bin/btar/
btbrk,-,,Perl,x,,,,,,,,,,,,,,,BTRFS,https://github.com/digint/btrbk
bup,-,,,,,x,x,,x,,,backupninja (https://0xacab.org/riseuplabs/backupninja),,,,,,,,https://github.com/bup/bup
burp,-,,C,,x,x,,,,x,x,,x,,,,,,,http://burp.grke.org/
cedar-backup3,-,,Python,,,,,,,,,,,,,,,,,https://bitbucket.org/cedarsolutions/cedar-backup3/wiki/Home
chop-backup/libchop,-,(old),C,,,,,,,,,,,,,,,,Beta,http://nongnu.org/libchop/
dar,-,,,x,x,,x,,,,,,,,,,,,"Pre GitHub SCM, Differential, checksums, multi-archive",http://dar.linux.free.fr/
ddar,-,(old),C / Python,,,x,,,,,,,,,,,,,Repo,https://github.com/basak/ddar
deltaic,-,,Python,,,,,,,,,,,,,,,,"Low activity, Script over lvm thin pools",https://github.com/cmusatyalab/deltaic
duplicati,-,,C#,x,x,block,x,,,x,,web,,x,x,x,,,,https://github.com/duplicati/duplicati
duplicity,-,,Python,x,x,,x,,,,,"deja-dup (https://wiki.gnome.org/Apps/DejaDup), backupninja",x,x,x,x,,,,http://duplicity.nongnu.org/
Frost,-,,,x,x,x,,,,,,,,,,,,,"Single dev, low activity",https://github.com/X-Ryl669/Frost/
fwbackups,-,,,,,,,,,,,x,x,,,,,,"Tar, maintenance only",http://www.diffingo.com/oss/fwbackups/features
git-annex,-,,,,,,,,,,,,,,,,,,,https://git-annex.branchable.com/
hashbackup,-,,,x,x,x,,,,,,,,,,,,,Proprierary,http://www.hashbackup.com/
hdup2,-,(old),,,,,,,,,,,,x,x,,,,,https://wiki.archlinux.org/index.php/Hdup
hindsight,-,(old),,,,,,,,,,,,,,,,,,https://github.com/br0ns/hindsight
kebab,-,(old 2015),Golang,,,,,,,,,,,,,,,,,https://github.com/davidlazar/kebab
knoxite,-,,Golang,x,x,x,x,x,x,,,,,,,x,,,"Backend sharding, repo, missing docs, single dev",https://github.com/knoxite/knoxite
obnam,?,(old),Python,x,,x,,,,,,,,x,,,,,"Repo, sftp, single tier pruning strategy",http://obnam.org/
ori,-,,C++,,,,,,,,,,,,,,,,"Not backup, P2P, slow dev",http://ori.scs.stanford.edu/
preserve,-,,Rust,x,,x,,,,,,,,,,,,,,https://github.com/cholcombe973/preserve
pukcab,-,,Golang,,x,x,,,,x,?,x,,,x,,,,"Repo, single dev",https://github.com/lyonel/pukcab
PyHardLinkBackup,?,,Python,,,x,x,,,,,,,,,,,,,https://github.com/jedie/PyHardLinkBackup/
rdedup,-,,Rust,x,x,x,,,,,,,,,,,,,Beta,https://github.com/dpc/rdedup
rdiff-backup,-,(old),,,x,,x,,,,,backupninja,,,x,,,,,http://www.nongnu.org/rdiff-backup/
rdup,-,,,,,,,,,,,,,,,,,,,http://zbackup.org/
restic,-,,Golang,x,,x,x,x,,,,backupninja,,,x,x,,,,https://restic.github.io/
rsbackup,-,,,,,,,,,,,,x,,x,,,,,http://www.greenend.org.uk/rjk/rsbackup/
rsnapshot,-,,Perl,,,hard link,,,,,,backupninja,,,,,,,,http://rsnapshot.org/
s3git,-,,Golang,,,x,x,,,,,,,,,x,,,Distributed,https://github.com/s3git/s3git
scat,?,,Golang,x,,x,,,x,,,,,,,,,,"Decentralized storage, checksums, multiple copies, toolbox approach",https://github.com/Roman2K/scat
shield,,,,,,,,,,,,,,,,,,x,,https://github.com/starkandwayne/shield
snaprd,?,,Golang,,,hard link,,,,x,,,x,,,,,,Single dev,https://gitlab.tuebingen.mpg.de/stark/snaprd
snebu,-,,C,,x,file,,,,x,x,,,,,,,,Sigle dev,http://www.snebu.com/
storeBackup,-,(old),,,,,,,,,,,,,,,,,,https://savannah.nongnu.org/projects/storebackup
ugarit,-,(old ?),,,,x,,,,,,,,,,,,,,https://www.kitten-technologies.co.uk/project/ugarit/doc/trunk/README.wiki
unison,-,,,,,,,,,,,,,,,,x,,,https://www.cis.upenn.edu/~bcpierce/unison/
urbackup,-,,C,,,file,,,,,x,x,,,,,,,Commercial version,https://www.urbackup.org/
